Bus Name,Bus Type,Start Time,End Time,Rating,Total Duration,Price,Seats Available,Route Name,Route Link,State
UPSRTC - HTR0132,Ordinary Non AC Seater 2+3,19:00,4:30,3.3,09h 30m,705,52 Seats available,Aligarh To Lucknow,https://www.redbus.in/bus-tickets/aligarh-to-lucknow,Uttar
UPSRTC - BDV0077,Janrath AC Seater 2+2,21:20,5:00,2.8,07h 40m,998,34 Seats available,Aligarh To Lucknow,https://www.redbus.in/bus-tickets/aligarh-to-lucknow,Uttar
UPSRTC - ALI0171,Rajdhani Non AC Seater 2+3,21:30,8:20,3.3,10h 50m,650,51 Seats available,Aligarh To Lucknow,https://www.redbus.in/bus-tickets/aligarh-to-lucknow,Uttar
Zingbus Plus,A/C Seater/Sleeper (2+1),13:40,17:25,4.5,03h 45m,353,5 Seats available,Moradabad To Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi,Uttar
India Tours & Travels (GetBookCab),A/C Semi Sleeper / Sleeper (2+2),17:00,20:30,3.9,03h 30m,404,35 Seats available,Moradabad To Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi,Uttar
India Tours & Travels (GetBookCab),A/C Seater / Sleeper (2+2),18:15,20:45,3.9,02h 30m,467,21 Seats available,Moradabad To Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi,Uttar
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),19:10,23:20,3.8,04h 10m,584,32 Seats available,Moradabad To Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi,Uttar
RS YADAV SMART BUS,Bharat Benz A/C Seater /Sleeper (2+1),20:45,5:55,4.4,09h 10m,1399,10 Seats available,Sitapur To Delhi,https://www.redbus.in/bus-tickets/sitapur-to-delhi,Uttar
RS YADAV SMART BUS,Bharat Benz A/C Seater /Sleeper (2+1),21:40,5:45,4.3,08h 05m,1299,12 Seats available,Delhi To Shahjahanpur,https://www.redbus.in/bus-tickets/delhi-to-shahjahanpur,Uttar
Zingbus Plus,A/C Semi Sleeper / Sleeper (2+1),23:20,7:05,4.5,07h 45m,1166,34 Seats available,Greater Noida To Lucknow,https://www.redbus.in/bus-tickets/greater-noida-to-lucknow,Uttar
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:55,5:45,4.3,07h 50m,1599,23 Seats available,Greater Noida To Lucknow,https://www.redbus.in/bus-tickets/greater-noida-to-lucknow,Uttar
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:50,6:55,4.3,07h 05m,1219,39 Seats available,Greater Noida To Lucknow,https://www.redbus.in/bus-tickets/greater-noida-to-lucknow,Uttar
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:00,6:30,4.3,07h 30m,1339,36 Seats available,Greater Noida To Lucknow,https://www.redbus.in/bus-tickets/greater-noida-to-lucknow,Uttar
Samay Shatabdi Travels Pvt Ltd,AC Sleeper (2+1),22:00,5:30,3.4,07h 30m,849,3 Seats available,Kanpur To Varanasi,https://www.redbus.in/bus-tickets/kanpur-to-varanasi,Uttar
SHREE MARUTIKRUPA TRAVELS AND CARGO,A/C Seater / Sleeper (2+1),23:55,6:35,1.2,06h 40m,600,24 Seats available,Kanpur To Varanasi,https://www.redbus.in/bus-tickets/kanpur-to-varanasi,Uttar
RSRTC - 177797,A/C Seater / Sleeper (2+1),13:30,20:00,3.9,06h 30m,736,6 Seats available,Gorakhpur To Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,Uttar
Fouji travels,A/C Seater / Sleeper (2+1),16:50,23:10,4.1,06h 20m,999,35 Seats available,Gorakhpur To Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,Uttar
Anshi Raj Shree Travels,Bharat Benz A/C Sleeper (2+1),15:00,21:20,4.1,06h 20m,924,18 Seats available,Gorakhpur To Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,Uttar
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,1:25,4.6,05h 25m,1149,41 Seats available,Gorakhpur To Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,Uttar
Bihar state road transport corporation (BSRTC) - 117804,Volvo A/C Sleeper (2+1),16:30,20:15,3.4,03h 45m,600,1 Seat available,Delhi To Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Uttar
FlixBus,AC Seater (2+2),10:00,15:35,4,05h 35m,124.11,1 Seat available,Delhi To Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Uttar
Gola Bus Service,VE A/C Seater / Sleeper (2+1),10:20,12:30,3.5,02h 10m,279,2 Seats available,Delhi To Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Uttar
UPSRTC - KSB0003,Shatabdi AC Seater 2+2,11:00,17:00,3.9,06h 00m,555,19 Seats available,Delhi To Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun,Uttar
UPSRTC - LNI0216,Ordinary Non AC Seater 2+3,11:00,15:50,3.3,04h 50m,404,52 Seats available,Delhi To Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun,Uttar
UPSRTC - LNI0363,Ordinary Non AC Seater 2+3,11:05,15:55,3.3,04h 50m,404,52 Seats available,Delhi To Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun,Uttar
UPSRTC - LNI0218,Ordinary Non AC Seater 2+3,12:00,16:50,3.3,04h 50m,404,52 Seats available,Delhi To Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun,Uttar
